u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,bridge,lanes,access
46069077,588087267,0,146459095,Lindenlaan,unclassified,50,False,58.689,"LINESTRING (4.8622536 52.29692, 4.8625441 52.297417)",,,
46073987,602103645,0,7364123,Ouderkerkerlaan,unclassified,50,False,2.787,"LINESTRING (4.8628827 52.2979436, 4.8628487 52.2979296)",,,
46073987,602103647,0,7364123,Ouderkerkerlaan,unclassified,50,False,4.714,"LINESTRING (4.8628827 52.2979436, 4.8629509 52.297936)",,,
46102459,1790738164,0,167699574,Burgemeester A. Colijnweg,unclassified,,False,15.475,"LINESTRING (4.8392749 52.3045874, 4.8391793 52.3044611)",,,
46166351,4335168589,0,7049242,Harriet Freezerstraat,unclassified,30,False,30.398,"LINESTRING (4.9675733 52.3215745, 4.9679635 52.3217081)",,,
46204156,6899164368,0,219405929,De Heusweg,unclassified,50,False,2.415,"LINESTRING (4.915038 52.3311643, 4.9150692 52.3311747)",,,
46206375,6899150782,0,7047777,De Heusweg,unclassified,50,False,22.508,"LINESTRING (4.9165753 52.3316147, 4.9168701 52.331707)",yes,,
46206375,6899164368,0,219405929,De Heusweg,unclassified,50,False,113.434,"LINESTRING (4.9165753 52.3316147, 4.9150692 52.3311747)",,,
46207770,6899150783,0,7047777,De Heusweg,unclassified,50,False,72.737,"LINESTRING (4.9179161 52.3320114, 4.9169489 52.3317311)",yes,,
46207770,2284860983,0,7047807,De Heusweg,unclassified,50,False,15.99,"LINESTRING (4.9179161 52.3320114, 4.9181278 52.3320742)",,,
46293554,1344244574,0,7369487,Lutmastraat,unclassified,,True,6.019,"LINESTRING (4.89456 52.3504796, 4.8946466 52.3504911)",,,
46293812,46295651,0,7369487,Lutmastraat,unclassified,,True,172.058,"LINESTRING (4.895441 52.3505875, 4.8979134 52.3509245)",,,
46294888,5547767323,0,7040418,Oude Waelweg,residential,30,False,33.106,"LINESTRING (4.9689072 52.3507694, 4.9693628 52.3508752)",,,
46295694,46296500,0,7040418,Oude Waelweg,residential,30,False,50.979,"LINESTRING (4.9697995 52.3509749, 4.9705027 52.3511352)",,,
46295694,5547767323,0,7040418,Oude Waelweg,residential,30,False,31.665,"LINESTRING (4.9697995 52.3509749, 4.9693628 52.3508752)",,,
46296500,46296983,0,7040418,Oude Waelweg,residential,30,False,34.067,"LINESTRING (4.9705027 52.3511352, 4.970976 52.3512366)",,,
46296500,46295694,0,7040418,Oude Waelweg,residential,30,False,50.979,"LINESTRING (4.9705027 52.3511352, 4.9697995 52.3509749)",,,
46296983,4621705526,0,7040418,Oude Waelweg,residential,30,False,12.264,"LINESTRING (4.970976 52.3512366, 4.9711435 52.3512778)",,,
46296983,46296500,0,7040418,Oude Waelweg,residential,30,False,34.067,"LINESTRING (4.970976 52.3512366, 4.9705027 52.3511352)",,,
46297553,75521212,0,7040418,Oude Waelweg,residential,30,False,10.864,"LINESTRING (4.9713782 52.3513293, 4.9715322 52.3513557)",,,
46297553,4621705526,0,7040418,Oude Waelweg,residential,30,False,16.938,"LINESTRING (4.9713782 52.3513293, 4.9711435 52.3512778)",,,
46297817,5548205666,0,7040418,Oude Waelweg,residential,30,False,43.597,"LINESTRING (4.9717776 52.3513913, 4.9724002 52.3514867)",,,
46297817,75521212,0,7040418,Oude Waelweg,residential,30,False,17.131,"LINESTRING (4.9717776 52.3513913, 4.9715322 52.3513557)",,,
46298533,2733624551,0,7040418,Oude Waelweg,residential,30,False,1.855,"LINESTRING (4.9731438 52.3516006, 4.9731701 52.3516051)",,,
46298533,5548205670,0,7040418,Oude Waelweg,residential,30,False,35.964,"LINESTRING (4.9731438 52.3516006, 4.9726302 52.3515219)",,,
46298948,5548205684,0,267983000,Oude Waelweg,residential,30,False,3.467,"LINESTRING (4.9733906 52.351729, 4.9734247 52.3517522)",,,
46298948,2733624554,0,267983000,Oude Waelweg,residential,30,False,2.243,"LINESTRING (4.9733906 52.351729, 4.9733705 52.351713)",,,
46299442,46297343,0,7369470,Van der Helstplein,residential,30,True,63.787,"LINESTRING (4.8945117 52.3518758, 4.8947422 52.3513197)",,,
46299846,46299442,0,7369558,Van der Helstplein,residential,30,True,27.632,"LINESTRING (4.8949078 52.3519325, 4.8945117 52.3518758)",,,
46300384,46302159,0,267983000,Oude Waelweg,residential,30,False,58.475,"LINESTRING (4.97396 52.35212, 4.9744973 52.3525309)",,,
46300384,46300793,0,267983000,Oude Waelweg,residential,30,False,52.341,"LINESTRING (4.97396 52.35212, 4.9734489 52.3517677)",,,
46300793,46300384,0,267983000,Oude Waelweg,residential,30,False,52.341,"LINESTRING (4.9734489 52.3517677, 4.97396 52.35212)",,,
46300793,5548205684,0,267983000,Oude Waelweg,residential,30,False,2.382,"LINESTRING (4.9734489 52.3517677, 4.9734247 52.3517522)",,,
46302159,46303821,0,267983000,Oude Waelweg,residential,30,False,55.155,"LINESTRING (4.9744973 52.3525309, 4.9750169 52.3529121)",,,
46302159,46300384,0,267983000,Oude Waelweg,residential,30,False,58.475,"LINESTRING (4.9744973 52.3525309, 4.97396 52.35212)",,,
46303232,1542622378,0,7370459,Gijsbrecht van Aemstelstraat,residential,,True,148.388,"LINESTRING (4.9103377 52.3528067, 4.912218 52.3534863)",,,
46303821,46302159,0,267983000,Oude Waelweg,residential,30,False,55.155,"LINESTRING (4.9750169 52.3529121, 4.9744973 52.3525309)",,,
46304708,3307341844,0,443341149,Emmastraat,residential,30,False,3.582,"LINESTRING (4.8698899 52.3530689, 4.8699179 52.3530416)",,,
46306409,241983747,0,7370459,Gijsbrecht van Aemstelstraat,residential,,True,4.341,"LINESTRING (4.9122665 52.3535031, 4.9123248 52.3535191)",,,
46318363,46318404,0,14376096,Gabriël Metsustraat,residential,30,True,6.525,"LINESTRING (4.8803935 52.3561625, 4.8804894 52.3561661)",,,
46318404,139857711,0,14376096,Gabriël Metsustraat,residential,30,True,61.79,"LINESTRING (4.8804894 52.3561661, 4.8813615 52.3560077)",,,
46321106,46316628,0,7372170,Johannes Vermeerstraat,residential,30,True,114.905,"LINESTRING (4.8838771 52.3567477, 4.8837652 52.3557166)",,1,
46322645,2218460933,0,26312532,,residential,,False,17.405,"LINESTRING (4.9367983 52.3571027, 4.9367881 52.3572591)",,,
46325386,330740082,0,7372170,Johannes Vermeerstraat,residential,30,True,40.796,"LINESTRING (4.8842492 52.35782, 4.8841135 52.3574626)",,1,
46364379,300171877,0,7371299,,unclassified,30,True,7.25,"LINESTRING (4.895773 52.3669835, 4.8957722 52.3670487)",,,
46367895,4835274335,0,106068236,Kloveniersburgwal,residential,50,True,8.951,"LINESTRING (4.8960227 52.3677125, 4.8960666 52.3677884)",,,
46389848,3168515056,0,7046092,Kattenburgerkruisstraat,unclassified,,False,35.182,"LINESTRING (4.9197776 52.3723824, 4.9193986 52.3725982)",,,
46389848,3168515057,0,311256092,Kattenburgerkruisstraat,unclassified,,False,37.844,"LINESTRING (4.9197776 52.3723824, 4.920185 52.3721501)",,,
46392758,1587582169,0,7046092,Kattenburgerkruisstraat,unclassified,,False,5.28,"LINESTRING (4.9189165 52.372886, 4.9189757 52.3728552)",,,
46480845,46481825,0,7041543,Beemsterstraat,tertiary,,False,25.043,"LINESTRING (4.9476013 52.3923544, 4.9477618 52.3925572)",,,
46481825,46480845,0,7041543,Beemsterstraat,tertiary,,False,25.043,"LINESTRING (4.9477618 52.3925572, 4.9476013 52.3923544)",,,
46481825,1989704942,0,7041547,Beemsterstraat,tertiary,,False,9.422,"LINESTRING (4.9477618 52.3925572, 4.9478222 52.3926335)",,,
46483961,46485360,0,7041430,Beemsterstraat,tertiary,,False,55.328,"LINESTRING (4.9481584 52.3930582, 4.9485132 52.3935062)",,,
46483961,1989704942,0,7041547,Beemsterstraat,tertiary,,False,52.446,"LINESTRING (4.9481584 52.3930582, 4.9478222 52.3926335)",,,
46485360,46483961,0,7041430,Beemsterstraat,tertiary,,False,55.328,"LINESTRING (4.9485132 52.3935062, 4.9481584 52.3930582)",,,
46485360,4279179799,0,7041470,Beemsterstraat,tertiary,,False,3.62,"LINESTRING (4.9485132 52.3935062, 4.9485368 52.3935354)",,,
46485778,4617949358,0,7041470,Beemsterstraat,tertiary,,False,6.738,"LINESTRING (4.9487259 52.3937613, 4.9486802 52.3937075)",,,
46487464,4617949357,0,428813850,Beemsterstraat,tertiary,,False,26.778,"LINESTRING (4.9490709 52.3942106, 4.9489223 52.3939875)",,,
46536614,4629692575,0,7042385,Westerlengte,tertiary,50,False,29.512,"LINESTRING (4.9165953 52.4102702, 4.9168622 52.4104798)",,,
46538285,3841812645,0,7042385,Westerlengte,tertiary,50,False,7.98,"LINESTRING (4.9171258 52.4106934, 4.9171923 52.4107526)",,,
46538285,4629692575,0,7042385,Westerlengte,tertiary,50,False,29.729,"LINESTRING (4.9171258 52.4106934, 4.9168622 52.4104798)",,,
46539138,4296408697,0,7042385,Westerlengte,tertiary,50,False,11.947,"LINESTRING (4.9173642 52.4109825, 4.9174282 52.4110826)",,,
46539138,6893751274,0,7042385,Westerlengte,tertiary,50,False,19.732,"LINESTRING (4.9173642 52.4109825, 4.9172496 52.4108194)",,,
46539732,3753093622,0,7042385,Westerlengte,tertiary,50,False,7.9,"LINESTRING (4.9175075 52.4111806, 4.9175672 52.4112416)",,,
46539732,6893751275,0,7042385,Westerlengte,tertiary,50,False,6.73,"LINESTRING (4.9175075 52.4111806, 4.917463 52.4111265)",,,
46541072,6893751283,0,7042385,Westerlengte,tertiary,50,False,36.385,"LINESTRING (4.9180919 52.4116847, 4.9184084 52.4119489)",,,
46541072,3804157961,0,7042385,Westerlengte,tertiary,50,False,56.138,"LINESTRING (4.9180919 52.4116847, 4.917606 52.411276)",,,
46542220,4296412954,0,7042385,Westerlengte,tertiary,50,False,8.72,"LINESTRING (4.9184969 52.4120202, 4.9185869 52.4120762)",,,
46542220,6893751283,0,7042385,Westerlengte,tertiary,50,False,9.944,"LINESTRING (4.9184969 52.4120202, 4.9184084 52.4119489)",,,
46542997,6893751281,0,7042385,Westerlengte,tertiary,50,False,6.134,"LINESTRING (4.9188973 52.4122376, 4.9189661 52.4122734)",,,
46542997,4296412957,0,7042385,Westerlengte,tertiary,50,False,5.613,"LINESTRING (4.9188973 52.4122376, 4.9188329 52.4122059)",,,
46544513,4296408732,0,7042385,Westerlengte,tertiary,50,False,10.541,"LINESTRING (4.9196454 52.412814, 4.919728 52.4128943)",,,
46544513,4629692576,0,7042385,Westerlengte,tertiary,50,False,32.006,"LINESTRING (4.9196454 52.412814, 4.9193743 52.4125784)",,,
46545668,6893751286,0,7042385,Westerlengte,tertiary,50,False,7.935,"LINESTRING (4.9199187 52.4131703, 4.9199794 52.4132313)",,,
46545668,6893751285,0,7042385,Westerlengte,tertiary,50,False,10.274,"LINESTRING (4.9199187 52.4131703, 4.9198567 52.413086)",,,
46545986,6893751286,0,7042385,Westerlengte,tertiary,50,False,5.337,"LINESTRING (4.9200248 52.4132705, 4.9199794 52.4132313)",,,
73827250,73827251,0,9546409,,service,,False,51.876,"LINESTRING (4.9384438 52.3207455, 4.9386568 52.3202975)",,,
73827251,73827252,0,9546409,,service,,False,52.384,"LINESTRING (4.9386568 52.3202975, 4.9389974 52.3198749)",,,
73827251,73827250,0,9546409,,service,,False,51.876,"LINESTRING (4.9386568 52.3202975, 4.9384438 52.3207455)",,,
73827252,73827253,0,9546409,,service,,False,61.079,"LINESTRING (4.9389974 52.3198749, 4.9394266 52.3193923)",,,
73827252,73827251,0,9546409,,service,,False,52.384,"LINESTRING (4.9389974 52.3198749, 4.9386568 52.3202975)",,,
73827253,73827254,0,9546409,,service,,False,73.16,"LINESTRING (4.9394266 52.3193923, 4.9399477 52.3188166)",,,
73827253,73827252,0,9546409,,service,,False,61.079,"LINESTRING (4.9394266 52.3193923, 4.9389974 52.3198749)",,,
73827254,73827255,0,9546409,,service,,False,47.587,"LINESTRING (4.9399477 52.3188166, 4.9402924 52.3184441)",,,
73827254,73827253,0,9546409,,service,,False,73.16,"LINESTRING (4.9399477 52.3188166, 4.9394266 52.3193923)",,,
73827255,4540173001,0,9546409,,service,,False,15.434,"LINESTRING (4.9402924 52.3184441, 4.9404001 52.3183219)",,,
73827255,73827254,0,9546409,,service,,False,47.587,"LINESTRING (4.9402924 52.3184441, 4.9399477 52.3188166)",,,
73827715,6899331498,0,9546409,,service,,False,8.142,"LINESTRING (4.9406304 52.3181454, 4.9405411 52.3181942)",,,
75521212,46297817,0,7040418,Oude Waelweg,residential,30,False,17.131,"LINESTRING (4.9715322 52.3513557, 4.9717776 52.3513913)",,,
75521212,46297553,0,7040418,Oude Waelweg,residential,30,False,10.864,"LINESTRING (4.9715322 52.3513557, 4.9713782 52.3513293)",,,
75615307,861498831,0,72582416,Fritz Dietrich Kahlenbergstraat,residential,30,False,100.61,"LINESTRING (5.0051598 52.3459454, 5.0061417 52.3466228)",yes,,
75619296,75619297,0,9658335,Fritz Dietrich Kahlenbergstraat,residential,,False,39.1,"LINESTRING (5.0076071 52.3476518, 5.0079735 52.347923)",yes,,
75619297,75619296,0,9658335,Fritz Dietrich Kahlenbergstraat,residential,,False,39.1,"LINESTRING (5.0079735 52.347923, 5.0076071 52.3476518)",yes,,
75660446,75660522,0,9658559,Peter Martensstraat,residential,,False,17.22,"LINESTRING (5.0097732 52.3464999, 5.0099406 52.3466162)",yes,,
75660522,75660446,0,9658559,Peter Martensstraat,residential,,False,17.22,"LINESTRING (5.0099406 52.3466162, 5.0097732 52.3464999)",yes,,
94591714,94591723,0,10679748,Drie Burgpad,footway,,False,104.798,"LINESTRING (4.9353939 52.3384817, 4.9341845 52.3390667)",,,
94591723,94591714,0,10679748,Drie Burgpad,footway,,False,104.798,"LINESTRING (4.9341845 52.3390667, 4.9353939 52.3384817)",,,
122691462,122691981,0,108389208,,footway,,False,21.341,"LINESTRING (4.97263 52.3254256, 4.9723275 52.3254771)",,,
122691981,1243846754,0,108389208,,footway,,False,49.099,"LINESTRING (4.9723275 52.3254771, 4.9716909 52.3252683)",,,
122691981,122691462,0,108389208,,footway,,False,21.341,"LINESTRING (4.9723275 52.3254771, 4.97263 52.3254256)",,,
122691983,2314265124,0,108389208,,footway,,False,13.591,"LINESTRING (4.9711142 52.3250483, 4.9712876 52.3251092)",,,
122691983,122691985,0,108389212,,footway,,False,24.796,"LINESTRING (4.9711142 52.3250483, 4.9707912 52.3249446)",,,yes
122691985,122691983,0,108389212,,footway,,False,24.796,"LINESTRING (4.9707912 52.3249446, 4.9711142 52.3250483)",,,yes
130524221,1693896069,0,7049242,Harriet Freezerstraat,unclassified,30,False,48.045,"LINESTRING (4.9684713 52.321882, 4.969088 52.3220932)",,,
130524221,4335168589,0,7049242,Harriet Freezerstraat,unclassified,30,False,39.561,"LINESTRING (4.9684713 52.321882, 4.9679635 52.3217081)",,,
130524222,1693896069,0,7049242,Harriet Freezerstraat,unclassified,30,False,26.921,"LINESTRING (4.9694336 52.3222115, 4.969088 52.3220932)",,,
139857711,4416679332,0,14376096,Gabriël Metsustraat,residential,30,True,60.22,"LINESTRING (4.8813615 52.3560077, 4.8822088 52.355848)",,,
152788757,5351440014,0,14376096,Gabriël Metsustraat,residential,30,True,38.466,"LINESTRING (4.8826278 52.3557671, 4.883167 52.3556612)",,,
152788772,46321106,0,7372170,Johannes Vermeerstraat,residential,30,True,13.72,"LINESTRING (4.883905 52.3568699, 4.8838771 52.3567477)",,1,
241937068,241937073,0,7047807,De Heusweg,unclassified,50,False,133.706,"LINESTRING (4.9202859 52.3327374, 4.9185308 52.3321937)",,,
241937073,241937068,0,7047807,De Heusweg,unclassified,50,False,133.706,"LINESTRING (4.9185308 52.3321937, 4.9202859 52.3327374)",,,
241937073,2284860983,0,7047807,De Heusweg,unclassified,50,False,30.437,"LINESTRING (4.9185308 52.3321937, 4.9181278 52.3320742)",,,
241983747,46306636,0,7370459,Gijsbrecht van Aemstelstraat,residential,,True,10.77,"LINESTRING (4.9123248 52.3535191, 4.9124693 52.353559)",,,
263164012,1790738162,0,167699574,Burgemeester A. Colijnweg,unclassified,,False,12.475,"LINESTRING (4.8389441 52.3043223, 4.8390904 52.30439)",,,
286518777,286519145,0,26165550,,service,,True,68.572,"LINESTRING (4.8407784 52.3070815, 4.8404394 52.3065007)",,,
286518781,286519143,0,26165550,,service,,True,7.99,"LINESTRING (4.8410224 52.3071972, 4.8409139 52.3071696)",,,
286518784,286518781,0,26165550,,service,,True,6.757,"LINESTRING (4.8411199 52.3071854, 4.8410224 52.3071972)",,,
286518786,286518784,0,26165550,,service,,True,6.46,"LINESTRING (4.8411981 52.3071524, 4.8411199 52.3071854)",,,
286519143,286518777,0,26165550,,service,,True,13.447,"LINESTRING (4.8409139 52.3071696, 4.8407784 52.3070815)",,,
286519145,4536339131,0,26165550,,service,,True,11.373,"LINESTRING (4.8404394 52.3065007, 4.8403993 52.3064014)",,,
286519361,286518001,0,26165550,,service,,True,17.437,"LINESTRING (4.840394 52.306345, 4.8405211 52.3062088)",,,
296020295,1713450911,0,14376096,Gabriël Metsustraat,residential,30,True,10.985,"LINESTRING (4.8801606 52.3560874, 4.8802907 52.3561461)",,,
297095267,1425894526,0,28770377,Admiraal de Ruijterweg,secondary,30,True,6.289,"LINESTRING (4.864837 52.3702599, 4.8647549 52.3702861)",,,
297095268,6054695744,0,27080337,De Clercqstraat,secondary,30,True,5.066,"LINESTRING (4.8653396 52.3700852, 4.8652749 52.3701079)",,,
300171877,452388586,0,27344293,,unclassified,30,True,9.112,"LINESTRING (4.8957722 52.3670487, 4.8957946 52.3671295)",,,
300532286,5434231387,0,220731092,Spoorslag,footway,,False,104.038,"LINESTRING (4.8747154 52.3383449, 4.8762467 52.3383494)",,,
300532287,3564346137,0,220731092,Spoorslag,footway,,False,7.943,"LINESTRING (4.8763606 52.3383498, 4.8764759 52.338338)",,,
300532287,1920874190,0,220731092,Spoorslag,footway,,False,3.995,"LINESTRING (4.8763606 52.3383498, 4.8763018 52.3383496)",,,
304072922,3168516163,0,30114014,,footway,,False,5.121,"LINESTRING (4.9230763 52.373806, 4.9230177 52.373835)",,,
330740082,152788772,0,7372170,Johannes Vermeerstraat,residential,30,True,67.409,"LINESTRING (4.8841135 52.3574626, 4.883905 52.3568699)",,1,
331856223,331858095,0,184359923,Lindenlaan,unclassified,50,False,24.033,"LINESTRING (4.8627758 52.2978017, 4.8626536 52.2975989)",,,
331856223,602103645,0,184359923,Lindenlaan,unclassified,50,False,15.061,"LINESTRING (4.8627758 52.2978017, 4.8628487 52.2979296)",,,
331858095,588087267,0,146459095,Lindenlaan,unclassified,50,False,21.554,"LINESTRING (4.8626536 52.2975989, 4.8625441 52.297417)",,,
331858095,331856223,0,184359923,Lindenlaan,unclassified,50,False,24.033,"LINESTRING (4.8626536 52.2975989, 4.8627758 52.2978017)",,,
452388586,4835274330,0,27344293,,unclassified,30,True,8.101,"LINESTRING (4.8957946 52.3671295, 4.8958199 52.3672007)",,,
588087267,46069077,0,146459095,Lindenlaan,unclassified,50,False,58.689,"LINESTRING (4.8625441 52.297417, 4.8622536 52.29692)",,,
588087267,331858095,0,146459095,Lindenlaan,unclassified,50,False,21.554,"LINESTRING (4.8625441 52.297417, 4.8626536 52.2975989)",,,
602103645,46073987,0,7364123,Ouderkerkerlaan,unclassified,50,False,2.787,"LINESTRING (4.8628487 52.2979296, 4.8628827 52.2979436)",,,
602103645,331856223,0,184359923,Lindenlaan,unclassified,50,False,15.061,"LINESTRING (4.8628487 52.2979296, 4.8627758 52.2978017)",,,
602103647,46073987,0,7364123,Ouderkerkerlaan,unclassified,50,False,4.714,"LINESTRING (4.8629509 52.297936, 4.8628827 52.2979436)",,,
